Question,Topic
find all solutions to the following system of equations by row-reducing the coefficient matrix: \[\begin{array}{l}\frac{1}{5}x_{1}+2x_{2}-\phantom{-}6x_{3}=0\\ -4x_{1}\phantom{-}+\phantom{-}5x_{3}=0\\ -3x_{1}+6x_{2}-13x_{3}=0\\ -\frac{1}{5}x_{1}+2x_{3}-\phantom{-}\frac{1}{5}x_{3}=0\end{array}\] ,linear equations
find a row-reduced echelon matrix which is row-equivalent to \[a=\begin{bmatrix}1&-i\\ 2&2\\ i&1+i\end{bmatrix}.\] what are the solutions of \(ax=0\)? ,linear equations
let \[a=\begin{bmatrix}1&2&1&0\\ -1&0&3&5\\ 1&-2&1&1\end{bmatrix}.\] find a row-reduced echelon matrix \(r\) which is row-equivalent to \(a\) and an invertible \(3\times 3\) matrix \(p\) such that \(r=pa\). ,linear equations
"do exercise 1, but with \[a=\begin{bmatrix}2&\quad\quad\quad\quad\quad\quad\quad\quad\quad\quad i\\ 1&-3&-i\\ i&1&1\end{bmatrix}.\] ",linear equations
"for each of the two matrices \[\begin{bmatrix}2&5&-1\\ 4&-1&2\\ 6&4&1\end{bmatrix},\quad\quad\begin{bmatrix}1&-1&2\\ 3&2&4\\ 0&1&-2\end{bmatrix}\] use elementary row operations to discover whether it is invertible, and to find the inverse in case it is. ",linear equations
let \[a=\begin{bmatrix}5&0&0\\ 1&5&0\\ 0&1&5\end{bmatrix}.\] ,linear equations
"if \(f\) is a field, verify that \(f^{n}\) (as defined in example 1) is a vector space over the field \(f\).",vector spaces
"if \(v\) is a vector space over the field \(f\), verify that  \[(\alpha_{1}+\alpha_{2})+(\alpha_{3}+\alpha_{4})=[\alpha_{2}+(\alpha_{3}+ \alpha_{1})]+\alpha_{4}\]  for all vectors \(\alpha_{1},\alpha_{3},\alpha_{4},\) and \(\alpha_{4}\) in \(v\).  ",vector spaces
"if \(c\) is the field of complex numbers, which vectors in \(c^{3}\) are linear combinations of \((1,0,-1)\), \((0,1,1)\), and \((1,1,1)\)? ",vector spaces
"prove that if two vectors are linearly dependent, one of them is a scalar multiple of the other.",vector spaces
"are the vectors \[\begin{array}{l}\alpha_{1}=(1,1,2,4),\quad\ \alpha_{2}=(2,-1,-5,2)\\ \alpha_{3}=(1,-1,-4,0),\quad\ \alpha_{4}=(2,1,1,6)\end{array}\] linearly independent in \(r^{4}\)?",vector spaces
find a basis for the subspace of \(r^{4}\) spanned by the four vectors of exercise 2.,vector spaces
"show that the vectors \[\alpha_{1}=(1,0,-1),\quad\ \ \alpha_{2}=(1,2,1),\quad\ \ \alpha_{3}=(0,-3,2)\] form a basis for \(r^{3}\). express each of the standard basis vectors as linear combinations of \(\alpha_{1}\), \(\alpha_{2}\) and \(\alpha_{3}\).",vector spaces
" find three vectors in \(r^{2}\) which are linearly dependent, and are such that any two of them are linearly independent.",vector spaces
let \(v\) be the vector space of all \(2\times 2\) matrices over the field \(f\). prove that \(v\) has dimension \(4\) by exhibiting a basis for \(v\) which has four elements.,vector spaces
let \(v\) be the vector space of exercise 6. let \(w_{1}\) be the set of matrices of the form \[\begin{bmatrix}x&-x\\ y&z\end{bmatrix}\] and let \(w_{2}\) be the set of matrices of the form \[\begin{bmatrix}a&b\\ -a&c\end{bmatrix}.\] ,vector spaces
let \(s<n\) and \(\iota\) an \(s\times n\) matrix with entries in the field \(f\). use theorem 4 (not its proof) to show that there is a non-zero \(x\) in \(f^{\mathsf{w}\times\mathsf{i}}\) such that \(ax=0\). ,vector spaces
"let \[\alpha_{1}=(1,1,-2,1),\qquad\alpha_{2}\simeq(3,0,4,-1),\qquad\alpha_{3}=(-1,2, 5,2).\] let \[\alpha=(4,-5,9,-7),\qquad\beta=(3,1,-4,4),\qquad\gamma=(-1,1,0,1).\] 1. which of the vectors \(\alpha,\beta,\gamma\) are in the subspace of \(r^{4}\) spanned by the \(\alpha_{i}\)? 2. which of the vectors \(\alpha,\beta,\gamma\) are in the subspace ",vector spaces
"which of the following functions \(t\) from \(r^{2}\) into \(r^{2}\) are linear transformations? 1. \(t(x_{1},x_{2})=(1+x_{1},x_{2})\); 2. \(t(x_{1},x_{2})=(x_{2},x_{1})\); 3. \(t(x_{1},x_{2})=(x_{1}^{2},x_{2})\); 4. \(t(x_{1},x_{2})=(\sin x_{1},x_{2})\); 5. \(t(x_{1},x_{ ",linear transformations
"let \(t\) and \(u\) be the linear operators on \(r^{2}\) defined by \[t(x_{1},x_{2})=(x_{2},x_{1})\quad\text{and}\quad u(x_{1},x_{2})=(x_{1},0).\] (1) how would you describe \(t\) and \(u\) geometrically? (2) give rules like the ones defining \(t\) and \(u\) for each of the transformations \((u+t)\), \(ut\), \(tu\), \(t^{1}\), \(u^{2}\). ",linear transformations
"let \(t\) be the (unique) linear operator on \(c^{2}\) for which \[t\epsilon_{1}=(1,0,i),\qquad t\epsilon_{2}=(0,1,1),\qquad t\epsilon_{3}=(i,1,0).\]  is \(t\) invertible? ",linear transformations
"let \(t\) be the linear operator on \(r^{3}\) defined by \[t(x_{1},x_{2},x_{3})=(3x_{1},x_{1}-x_{3},2x_{1}+x_{2}+x_{3}).\]  is \(t\) invertible? if so, find a rule for \(t^{-1}\) like the one which defines \(t\). ",linear transformations
"for the linear operator \(t\) of exercise 3, prove that \[(t^{2}-i)(t-3i)=0.\] ",linear transformations
let \(c^{2x2}\) be the complex vector space of \(2\times 2\) matrices with complex entries. let \[b=\left[\begin{array}{cc}1&-1\\ -4&4\end{array}\right]\]  and let \(t\) be the linear operator on \(c^{2x2}\) defined by \(t(a)=ba\). what is the rank of \(t\)? can you describe \(t\)? ,linear transformations
"let \(t\) be a linear transformation from \(r^{2}\) into \(r^{2}\), and let \(u\) be a linear transformation from \(r^{2}\) into \(r^{2}\). prove that the transformation \(ut\) is not invertible. generalize the theorem.   ",linear transformations
"in \(r^{3}\), let \(\alpha_{1}=(1,\,0,\,1)\), \(\alpha_{2}=(0,\,1,\,-2)\), \(\alpha_{3}=(-1,\,-1,\,0)\).  ",linear transformations
"if \(f\) is a linear functional on \(r^{3}\) such that \[f(\alpha_{1})=1,\ \ \ \ \ f(\alpha_{3})=-1,\ \ \ \ \ f(\alpha_{3})=3,\] and if \(\alpha=(a,\,b,\,c)\), find \(f(\alpha)\).   ",linear transformations
"let \(q\) be the field of rational numbers. determine which of the following subsets of \(q[x]\) are ideals. when the set is an ideal, find its monic generator. 1. all \(f\) of even degree; 2. all \(f\) of degree \(\geq\) 5; 3. all \(f\) such that \(f(0)=0\); 4. all \(f\) such that \(f(2)=f(4)=0\); 5. all \(f\) in the range of the linear operator \(t\) defined by \[t\bigl{(}\sum\limits_{i=0}^{n}c_{i}x^{i}\bigr{)}=\sum\limits_{i=0}^{n}\frac{c_{ i}}{i+1}\,x^{i+1}.\] ",polynomials
"find the g.c.d. of each of the following pairs of polynomials 1. \(2x^{4}-x^{3}-3x^{2}-6x+4\), \(x^{4}+x^{3}-x^{2}-2x-2\); 2. \(3x^{4}+8x^{2}-3\), \(x^{3}+2x^{2}+3x+6\); 3. \(x^{4}-2x^{3}-2x^{2}-2x-3\), \(x^{3}+6x^{2}+7\,x+1\). ",polynomials
let \(a\) be an \(n\times n\) matrix over a field \(f\). show that the set of all polynomials \(f\) in \ ,polynomials
"let \(p\) be a monic polynomial over the field \(f\), and let \(f\) and \(g\) be relatively prime polynomials over \(f\). prove that the g.e.d. of \(pf\) and \(pg\) is \(p\).  ",polynomials
"assuming the fundamental theorem of algebra, prove the following. if \(f\) and \(g\) are polynomials over the field of complex numbers, then g.e.d. \((f,g)=1\) if and only if \(f\) and \(g\) have no common root.  ",polynomials
"let \(d\) be the differentiation operator on the space of polynomials over the field of complex numbers. let \(f\) be a monic polynomial over the field of complex numbers. prove that  \[f=(x-c_{k})\,\cdots\,(x-c_{k})\]  where \(c_{k}\), ..., \(c_{k}\) are _distinct_ complex numbers if and only if \(f\) and \(df\) are relatively prime. in other words, \(f\) has no repeated root if and only if \(f\) and \(df\) have no common root. (assume the fundamental theorem of algebra.)  ",polynomials
"prove the following generalization of taylor's formula. let \(f\), \(g\), and \(h\) be polynomials over a subfield of the complex numbers, with \(\deg f\leq n\). then  \[f(g)\,=\,\sum\limits_{h\,=\,0}^{n}\frac{1}{k!}f^{(h)}(h)(g-h)^{k}.\]  (here \(f(g)\) denotes '\(f\) of \(g\).')  for the remaining exercises, we shall need the following definition. if \(f\), \(g\), and \(p\) are polynomials over the field \(f\) with \(p\neq 0\), we say that \(f\) is **congruent to \(g\) modulo \(p\)** if \((f-g)\) is divisible by \(p\). if \(f\) is congruent to \(g\) modulo \(p\), we write  \[f\equiv g\bmod p.\]  ",polynomials
"prove, for any non-zero polynomial \(p\), that congruence modulo \(p\) is an equivalence relation. it is reflexive; \(f\equiv f\bmod p\). it is symmetric: if \(f\equiv g\bmod p\), then \(g\equiv f\bmod p\). it is transitive: if \(f\equiv g\bmod p\) and \(g\equiv h\bmod p\), then \(f\equiv h\bmod p\).",polynomials
suppose \(f\equiv g\bmod p\) and \(f_{1}\equiv g_{1}\bmod p\). prove that \(f+f_{1}=g+g_{1}\bmod p\). prove that \(f\!f_{1}=gg_{1}\bmod p\).  ,polynomials
"use exercise 7 to prove the following. if \(f\), \(g\), \(h\), and \(p\) are polynomials over the field \(f\) and \(p\neq 0\), and if \(f\equiv g\bmod p\), then \(h(f)\equiv h(g)\bmod p\).  ",polynomials
"if \(p\) is an irreducible polynomial and \(fg\equiv 0\bmod p\), prove that either \(f\equiv 0\bmod p\) or \(g\equiv 0\bmod p\). give an example which shows that: this is false if \(p\) is not irreducible.   ",polynomials
